time,vol,seepage
4.0,1.7155625,1.293413125e-06
12.0,1.7009375,1.0763975e-06
16.0,1.6953125,9.28826875e-07
20.0,1.69025,8.463609375e-07
24.0,1.685625,7.8125625e-07
28.0,1.6813125,7.291725e-07
32.0,1.67725,6.9445e-07
36.0,1.673375,6.597275e-07
40.0,1.6696875,6.293453125e-07
316.0,1.6870625,3.289956875e-07
332.0,1.7604375,3.1640878125e-06
340.0,1.732875,1.8619940625e-06
344.0,1.723375,1.536470625e-06
348.0,1.7154375,1.2847325000000001e-06
352.0,1.70875,1.09375875e-06
356.0,1.703,9.5486875e-07
360.0,1.697875,8.463609375e-07
364.0,1.6933125,7.682353125e-07
368.0,1.6890625,7.161515625e-07
372.0,1.685125,6.727484375e-07
376.0,1.6813125,6.423662500000001e-07
380.0,1.67775,6.206646875e-07
384.0,1.67425,5.98963125e-07
388.0,1.670875,5.81601875e-07
392.0,1.6675625,5.64240625e-07
396.0,1.664375,5.46879375e-07
400.0,1.6613125,5.29518125e-07
404.0,1.6583125,5.164971875e-07
408.0,1.655375,5.078165625e-07
412.0,1.6525,4.94795625e-07
416.0,1.6496875,4.86115e-07
420.0,1.6469375,4.7309406250000003e-07
424.0,1.64425,4.644134375e-07
428.0,1.641625,4.557328125e-07
432.0,1.639,4.470521875e-07
436.0,1.6365,4.3837156250000003e-07
440.0,1.634,4.3099303125000003e-07
444.0,1.6315625,4.236145e-07
448.0,1.629125,4.1667e-07
452.0,1.62675,4.097255e-07
456.0,1.6244375,4.0321503125000004e-07
460.0,1.622125,3.9713859375000003e-07
464.0,1.619875,3.9106215625e-07
468.0,1.6176875,3.8541975e-07
472.0,1.6155,3.793433125e-07
476.0,1.6133125,3.741349375e-07
480.0,1.6111875,3.6892656250000003e-07
484.0,1.6090625,3.637181875e-07
488.0,1.607,3.585098125e-07
492.0,1.6049375,3.5373546875e-07
496.0,1.6029375,3.4896112500000003e-07
500.0,1.6009375,3.4418678125e-07
504.0,1.6373125,3.402805e-07
508.0,1.693875,3.45488875e-07
516.0,1.73875,1.597235e-06
520.0,1.7344375,1.6015753125e-06
528.0,1.777,4.644134375e-06
532.0,1.770875,3.9800665625e-06
540.0,1.738625,2.0963709375e-06
712.0,1.734,1.19792625e-06
716.0,1.739375,1.6276171875e-06
720.0,1.735,1.623276875e-06
724.0,1.753,2.06598875e-06
740.0,1.73875,2.1050515625e-06
744.0,1.7280625,1.7014025e-06
748.0,1.7193125,1.414941875e-06
752.0,1.712,1.189245625e-06
756.0,1.70575,1.02431375e-06
760.0,1.7003125,9.027850000000001e-07
764.0,1.6955,8.072981250000001e-07
768.0,1.691125,7.378531250000001e-07
772.0,1.6870625,6.901096875e-07
776.0,1.6831875,6.553871875000001e-07
780.0,1.6795,6.293453125e-07
784.0,1.676,6.0764375e-07
788.0,1.6725625,5.859421875000001e-07
792.0,1.66925,5.685809375e-07
796.0,1.666,5.512196875e-07
800.0,1.662875,5.3819875e-07
804.0,1.659875,5.251778125e-07
808.0,1.656875,5.12156875e-07
