time,vol,seepage
8.0,1.7078125,1.3324759375e-06
16.0,1.69575,9.071253125e-07
28.0,1.681875,7.335128125e-07
40.0,1.67025,6.33685625e-07
52.0,1.6599375,5.685809375e-07
64.0,1.650625,5.164971875e-07
76.0,1.642125,4.817746875e-07
88.0,1.634125,4.5139250000000004e-07
100.0,1.626625,4.2404853125000003e-07
112.0,1.6195,4.019129375e-07
124.0,1.61275,3.8238153125e-07
136.0,1.6063125,3.654543125e-07
148.0,1.6001875,3.498291875e-07
160.0,1.5943125,3.3550615625e-07
172.0,1.5886875,3.2248521875e-07
184.0,1.58325,3.1033234375e-07
196.0,1.578,2.986135e-07
208.0,1.572875,2.8776271875e-07
220.0,1.5680625,2.7778e-07
232.0,1.563375,2.682313125e-07
244.0,1.5588125,2.5911665625000003e-07
256.0,1.554375,2.5043603125e-07
268.0,1.5500625,2.4262346875e-07
280.0,1.546,2.3481090625e-07
292.0,1.542,2.2786640625e-07
304.0,1.5755625,2.213559375e-07
308.0,1.6314375,2.2092190625e-07
316.0,1.68375,2.7213759375e-07
336.0,1.76275,1.3411565625e-06
352.0,1.7375,9.461881250000001e-07
364.0,1.722625,8.072981250000001e-07
376.0,1.7095625,7.161515625e-07
388.0,1.6978125,6.51046875e-07
400.0,1.687,5.98963125e-07
412.0,1.6770625,5.599003125e-07
424.0,1.66775,5.208375e-07
436.0,1.6590625,4.904553125000001e-07
448.0,1.6508125,4.644134375e-07
460.0,1.643,4.42711875e-07
472.0,1.6355625,4.21878375e-07
484.0,1.6285,4.0321503125000004e-07
496.0,1.62175,3.8672184375e-07
532.0,1.7835625,1.7404653124999998e-06
536.0,1.773875,1.6145962500000001e-06
544.0,1.757625,1.2456696875e-06
560.0,1.734125,8.897640625000001e-07
572.0,1.719875,7.769159374999999e-07
584.0,1.70725,6.987903125e-07
596.0,1.69575,6.380259375e-07
608.0,1.6851875,5.902824999999999e-07
620.0,1.6754375,5.512196875e-07
632.0,1.66625,5.164971875e-07
644.0,1.657625,4.86115e-07
656.0,1.6495,4.60073125e-07
668.0,1.64175,4.3837156250000003e-07
680.0,1.6344375,4.1797209375000003e-07
692.0,1.627375,4.001768125e-07
704.0,1.6580625,3.83683625e-07
708.0,1.712875,3.8585378125e-07
732.0,1.7836875,1.7491459375e-06
740.0,1.76525,1.4236225000000001e-06
748.0,1.751125,1.0894184375000001e-06
760.0,1.73425,8.897640625000001e-07
772.0,1.7199375,7.8125625e-07
784.0,1.70725,6.987903125e-07
796.0,1.6958125,6.380259375e-07
808.0,1.68525,5.902824999999999e-07
820.0,1.6754375,5.512196875e-07
832.0,1.6663125,5.164971875e-07
844.0,1.6576875,4.86115e-07
856.0,1.6495,4.60073125e-07
868.0,1.6418125,4.3837156250000003e-07
880.0,1.6344375,4.1797209375000003e-07
892.0,1.6274375,4.001768125e-07
904.0,1.6206875,3.83683625e-07
916.0,1.61425,3.6892656250000003e-07
928.0,1.608,3.5503756250000003e-07
940.0,1.6019375,3.4245065625e-07
952.0,1.5961875,3.3029778125e-07
964.0,1.590625,3.185789375e-07
976.0,1.58525,3.0772815625e-07
988.0,1.5800625,2.9731140625e-07
1000.0,1.575,2.873286875e-07
1012.0,1.570125,2.7821403125e-07
1024.0,1.5654375,2.69099375e-07
1036.0,1.560875,2.6041875e-07
1048.0,1.5564375,2.5217215625000003e-07
1060.0,1.552125,2.439255625e-07
1072.0,1.5479375,2.3654703125000001e-07
1084.0,1.5439375,2.2960253125000001e-07
1096.0,1.5400625,2.2265803125000002e-07
1108.0,1.5363125,2.1658159375e-07
1120.0,1.532625,2.109391875e-07
1132.0,1.5290625,2.0529678125000002e-07
1144.0,1.5255625,2.005224375e-07
1156.0,1.5221875,1.9574809375e-07
1168.0,1.518875,1.9097375e-07
1180.0,1.515625,1.866334375e-07
1192.0,1.5124375,1.8272715625e-07
1204.0,1.5093125,1.78820875e-07
1216.0,1.50625,1.75348625e-07
1228.0,1.50325,1.7144234375e-07
1240.0,1.5003125,1.68404125e-07
1252.0,1.4974375,1.64931875e-07
1264.0,1.494625,1.6189365625e-07
1276.0,1.491875,1.588554375e-07
1288.0,1.4891875,1.5581721875e-07
1300.0,1.4865,1.52779e-07
1312.0,1.4839375,1.4974078125e-07
1324.0,1.481375,1.4713659375e-07
1336.0,1.4788125,1.4453240625e-07
1348.0,1.476375,1.4192821875e-07
1360.0,1.4739375,1.3932403125e-07
1372.0,1.4715625,1.3671984375e-07
1384.0,1.4691875,1.3411565625e-07
1396.0,1.4669375,1.3151146875e-07
1408.0,1.464625,1.2934131250000002e-07
1420.0,1.4624375,1.26737125e-07
1432.0,1.4603125,1.2456696875e-07
1444.0,1.4581875,1.2239681250000002e-07
1456.0,1.456125,1.19792625e-07
1468.0,1.4540625,1.1762246875e-07
1480.0,1.4520625,1.154523125e-07
1492.0,1.4500625,1.1328215625e-07
1504.0,1.4481875,1.1154603125e-07
1516.0,1.4463125,1.09375875e-07
1528.0,1.4445,1.0720571875e-07
1540.0,1.4426875,1.050355625e-07
1552.0,1.4409375,1.032994375e-07
1564.0,1.4391875,1.0112928125e-07
1576.0,1.4374375,9.939315625e-08
1588.0,1.43575,9.765703125e-08
1600.0,1.434125,9.5486875e-08
