link,best_kge,ifc-hlm,p,product
104818,0.3742280454825825,0.08502032721310215,66.66666666666667,s0.04_12
110818,0.42544233457536085,0.2092239882177136,100.0,s0.04_9
143605,0.22221546042464235,-0.009964442275742558,100.0,s0.02_4
157543,0.09520623940106343,-0.0651413220323529,50.0,s0.04_9
162846,0.014477541070117783,-0.17690910578197516,75.0,s0.02_4
178160,0.04199186534453303,-0.1677326855915775,100.0,s0.04_12
178416,0.4540988131503315,0.18302860887540062,50.0,s0.02_4
179425,0.1458887651942603,-0.06536218883142841,100.0,s0.02_4
197256,0.344718843696023,0.07160836616537525,75.0,s0.04_12
197446,0.47094942611311086,0.18767433551933577,100.0,s0.04_9
202584,0.19352508123154188,0.0035874577992531798,50.0,s0.02_4
203777,0.3461079874656471,0.13796280731605753,100.0,s0.04_12
203920,-0.07567466784559262,-0.23582630060591026,50.0,s0.04_9
203941,-0.38352391312819933,-0.24415745037677739,100.0,s0.04_12
204188,-0.054358277689977585,-0.29805983476227405,100.0,s0.04_12
216572,0.19957348830142857,-0.07406114435800637,100.0,s0.04_9
216714,0.19380014659360045,-0.07697732626793896,83.33333333333333,s0.04_9
217531,0.057387720400859266,-0.12013114338581787,50.0,s0.03_8
221500,0.331411295763435,0.016623647114551887,50.0,s0.04_9
226574,0.3744531811508157,0.06529226801769294,66.66666666666667,s0.04_9
227265,0.10330870466317299,-0.09087751180299675,100.0,s0.02_4
230601,0.24023381098104157,0.026910875582105143,50.0,s0.04_9
240462,0.38245955321398856,0.07716360659101312,41.1764705882353,s0.04_9
245378,0.20897074359507462,-0.05549715710889036,100.0,s0.04_9
258321,0.6503570583376082,0.35973240977025545,100.0,s0.04_12
270936,0.3956697276901827,0.0716529305168856,50.0,s0.03_8
272783,0.3887307656482193,0.005405401980069446,100.0,s0.04_12
272942,0.2761487676276717,-0.04248767381601848,100.0,s0.04_9
273178,0.4872103923700384,0.1507333817318608,50.0,s0.04_9
273299,0.32285200136105063,0.01732421553857133,100.0,s0.04_12
273761,0.07949161957618789,-0.1288347249398849,100.0,s0.04_12
275929,0.5325184660073726,0.19818357103662054,66.66666666666667,s0.04_12
277520,0.29236489155972323,0.1388096669624891,100.0,s0.04_12
278516,-0.23017439772733406,-0.30495829152717824,100.0,s0.04_12
279587,0.3038114406085311,0.09615124907026151,100.0,s0.04_12
285449,0.3011520144086065,0.13602217418182427,50.0,s0.04_9
292251,0.5295576710210601,0.24627310989540185,100.0,s0.04_9
309414,0.6072952509887939,0.2794484938364443,66.66666666666667,s0.04_12
313504,0.6506370635204863,0.3496887989476455,64.0,s0.04_9
314529,0.19363066875008322,0.006546057578087627,50.0,s0.02_4
317905,0.5433295025137996,0.19307028918083818,50.0,s0.04_9
317961,0.6751432159803877,0.2227085992112604,100.0,s0.04_12
318079,0.45049773924453057,0.14442171288429673,66.66666666666667,s0.04_12
