link,best_kge,ifc-hlm,p,product
104818,0.39755805870476146,0.08502032721310215,0.33053221288515405,4.0
108201,0.20353122244408106,-0.0936019806778281,0.4166666666666667,4.0
110818,0.4630962564005316,0.2092239882177136,0.23717948717948717,4.0
114284,0.4793726084839854,0.1785429382529285,0.6666666666666666,4.0
132569,0.1709364635749161,-0.08146054554857929,0.40789473684210525,4.0
143605,0.23388285481783389,-0.009964442275742558,0.44666666666666666,4.0
157405,-0.019315583074122955,-0.1702004396674388,0.3161290322580645,4.0
157543,0.09819695572771037,-0.0651413220323529,0.21374045801526717,9.0
162846,0.026860193523084996,-0.17690910578197516,0.3950617283950617,4.0
178160,0.057884167049787605,-0.17006663625026053,0.24651162790697675,4.0
178416,0.45953228712734406,0.18302860887540062,0.2677165354330709,4.0
179425,0.16511510584474665,-0.06536218883142841,0.4276729559748428,4.0
197256,0.344718843696023,0.07160836616537525,0.5225806451612903,4.0
197446,0.47094942611311086,0.18767433551933577,0.3,4.0
197506,0.43774031326472534,0.16111907472608822,0.4111111111111111,4.0
197517,0.42818553851242835,0.18357630157128102,0.40217391304347827,4.0
199722,-0.27524801952998534,-0.45101682718370917,0.453125,4.0
202584,0.19352508123154188,0.0035874577992531798,0.35135135135135137,4.0
203777,0.3461079874656471,0.1395711047279774,0.2542372881355932,9.0
203851,-0.7626649643004365,-1.16708813588417,0.5625,9.0
203920,-0.07567466784559262,-0.23582630060591026,0.32786885245901637,9.0
203941,-0.2585693400519917,-0.24415745037677739,0.40425531914893614,9.0
204046,-0.5276931778002816,-0.5853971083526692,0.40425531914893614,9.0
204188,-0.054358277689977585,-0.29805983476227405,0.3584905660377358,9.0
209558,-0.062197630851206,-0.2701195888719332,0.3218390804597701,4.0
216572,0.2242947654904206,-0.07406114435800637,0.12568306010928962,4.0
216714,0.2202634437127421,-0.07644708939571832,0.28272251308900526,9.0
216755,0.14534119618952845,-0.0377315942171812,0.29411764705882354,9.0
217531,0.06275546691481848,-0.12013114338581787,0.29577464788732394,12.0
221201,-0.24940523875482756,-0.38161669924700126,0.29245283018867924,12.0
221500,0.36114880118459747,0.022388927017194304,0.2598870056497175,4.0
226574,0.39548088997057185,0.052593678524258336,0.27692307692307694,4.0
227265,0.10470204861240173,-0.09087751180299675,0.3116883116883117,4.0
229021,0.2785216941671994,0.06051965293014683,0.38095238095238093,4.0
230601,0.2551048885335415,0.027302088122928336,0.3701657458563536,4.0
230973,-0.7654510560247823,-0.8345999552903063,0.32653061224489793,4.0
240462,0.38245955321398856,0.07716360659101312,0.3639240506329114,4.0
245378,0.2055272410452611,-0.045709076226788437,0.20103092783505155,4.0
255051,-0.03561998061913041,-0.25922542046283226,0.48125,4.0
258321,0.6503570583376082,0.35973240977025545,0.2987012987012987,4.0
270936,0.3956697276901827,0.0716529305168856,0.4966442953020134,4.0
272678,0.6358242543079021,0.3207746414183372,0.33613445378151263,12.0
272783,0.3887307656482193,0.005405401980069446,0.17054263565891473,12.0
272942,0.2788721046550309,-0.031906334080242904,0.26,4.0
273178,0.4872103923700384,0.1507333817318608,0.34782608695652173,4.0
273299,0.3478134674886936,0.01732421553857133,0.2711864406779661,4.0
273761,0.11384901265719383,-0.1355880046974257,0.3157894736842105,9.0
275929,0.5495771216672529,0.19818357103662054,0.33112582781456956,12.0
277520,0.2968149880753749,0.1349685980995986,0.25203252032520324,9.0
278516,-0.19901318159570724,-0.30495829152717824,0.48677248677248675,9.0
279587,0.34517058534747325,0.09615124907026151,0.270042194092827,4.0
285449,0.3154919911439088,0.11881903655932535,0.1485148514851485,4.0
292251,0.5345847342875653,0.24627310989540185,0.22377622377622378,12.0
309414,0.6321492695715081,0.2794484938364443,0.3505747126436782,4.0
313504,0.655283366887889,0.3509351041773838,0.25313807531380755,8.0
314529,0.22177005300107588,0.01214977340939788,0.2604166666666667,9.0
317905,0.5436294827492845,0.19307028918083818,0.20512820512820512,9.0
317961,0.6751432159803877,0.2227085992112604,0.22727272727272727,4.0
318079,0.4628575375919548,0.14442171288429673,0.2391304347826087,9.0
318208,-0.7364131103071048,-0.9081782638899305,0.42105263157894735,11.0
318225,-0.4718796140625172,-0.9057549325308178,0.2682926829268293,12.0
318272,0.3225382531515178,0.0545210741694368,0.24358974358974358,9.0
323529,0.6026460066397092,0.2423075057190024,0.2932330827067669,4.0
323592,0.3766965352108048,-0.14896302900498504,0.2682926829268293,9.0
326618,-0.029377050551085304,-0.16675544783918506,0.43564356435643564,9.0
326673,-0.10871177470612037,-0.23846961479091977,0.46153846153846156,9.0
326674,0.0015055466737912138,-0.2620867580503805,0.4142857142857143,4.0
334282,0.33271315275675806,-0.05209428271436822,0.36363636363636365,9.0
334449,0.49843798229240466,0.20532647918198887,0.36231884057971014,4.0
350386,0.4294246131271595,0.1828035426382607,0.36261682242990656,12.0
367567,0.7978545611855572,0.6021894648514996,0.2549019607843137,8.0
367593,0.8153301505142109,0.5474143898021006,0.15384615384615385,12.0
367697,0.6926008380607993,0.4428663445943359,0.20833333333333334,12.0
367769,0.6359179612375181,0.39436912344885544,0.16326530612244897,9.0
367813,0.7634485063228977,0.5621834078849184,0.2835820895522388,8.0
367916,0.6209243962229036,0.5106427926545314,0.20512820512820512,9.0
368052,0.5988695169180613,0.4702243553863356,0.25,11.0
368123,0.642538494387729,0.4414610579519892,0.27906976744186046,11.0
368142,0.518340744789475,0.30129644652192966,0.24242424242424243,9.0
368221,0.4736482304043952,0.21747289015527305,0.3076923076923077,12.0
374994,-0.75936676593766,-1.6831574265130786,0.6027397260273972,9.0
378268,0.5568279730745539,0.3331920386361342,0.25396825396825395,8.0
378371,0.5923148738345454,0.3081247161754006,0.26865671641791045,4.0
378537,-0.15942943261332976,-0.33767224987996236,0.3064516129032258,9.0
378559,0.24895344285306353,0.13969369256214859,0.25806451612903225,9.0
387745,-3.0538675646535207,-2.538360066296809,0.48,9.0
387769,-0.17068049511810868,-0.3287434667014313,0.5185185185185185,4.0
397674,0.29831821433088956,-0.2044981886539834,0.32075471698113206,9.0
399711,0.5083613389879236,0.2629638781448296,0.21052631578947367,9.0
406874,-0.23526349724931195,-0.7792991058584373,0.3595505617977528,9.0
412870,-1.2321085846672086,-2.3745957974681104,0.6521739130434783,12.0
412946,0.6072192713764297,0.27028744778819,0.25,12.0
418967,0.002250210955541454,-0.2135324368184417,0.273972602739726,12.0
425748,0.02735609994200261,-0.23286659583452862,0.29411764705882354,12.0
425876,0.2918219229699419,0.04916997395117906,0.3783783783783784,12.0
426049,0.4304535697099959,0.2871327880838091,0.3541666666666667,12.0
426130,0.5172328640466906,0.39530332071093555,0.34782608695652173,8.0
426239,0.5330101351862865,0.3062431857344772,0.24528301886792453,9.0
431052,-0.15864728533967076,-0.9857183080797913,0.48623853211009177,9.0
432794,0.5885403416974273,0.266115943852925,0.5,12.0
432886,0.607094667541241,0.40968118851522495,0.16129032258064516,11.0
434365,0.5417015519407671,0.26089778594669955,0.18787878787878787,8.0
434478,0.4251215836192478,0.14595428297692892,0.25477707006369427,4.0
434514,0.49914341341405954,0.3420346327926861,0.19463087248322147,4.0
437890,-1.0826174703936644,-2.1324890134310377,0.46236559139784944,12.0
447887,0.20799171710129188,-0.05322664905828334,0.3333333333333333,12.0
448250,0.46666962670627976,0.1400529517825151,0.29473684210526313,9.0
450755,0.2361255486108912,0.07270674872783267,0.25892857142857145,12.0
463732,0.22147375771246747,-0.8761579934250464,0.6296296296296297,12.0
463834,0.3786034738116506,0.10929830265058627,0.41379310344827586,12.0
465030,0.5839166498028008,0.4235363343098112,0.35294117647058826,9.0
465190,0.49140091262188257,0.12701484971355825,0.2796610169491525,12.0
483619,0.6383034067403104,0.3246237053440891,0.18518518518518517,12.0
486916,-0.9678937623288435,-1.5290534575924617,0.48484848484848486,12.0
487052,-0.35944333268636663,-0.47059922279260724,0.40540540540540543,12.0
487254,0.4855256302506491,0.16335190380918696,0.2972972972972973,12.0
503998,0.4311052130400894,0.10375399987051415,0.2727272727272727,4.0
504030,0.47870661018591787,0.21063953284294257,0.24427480916030533,4.0
504104,0.37563314422513894,0.11792919662605494,0.13829787234042554,12.0
509679,0.620373881330733,0.44538946931253354,0.25555555555555554,9.0
522692,0.2140841004906887,-0.08543725772610622,0.36893203883495146,12.0
522792,0.5897281391427189,0.36802897828952963,0.38461538461538464,4.0
522855,0.562126361132042,0.3625874393717503,0.18604651162790697,12.0
522951,0.7805011554436692,0.5721262396115483,0.22535211267605634,4.0
